epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46171,0.66563,3.54468,1.12751,0.06053,0.46758,0.15113,0.14045,0.36834,3.45541,0.94745,3.75e-05,3.75e-05,3.75e-05
2,6.15985,0.63068,3.10708,1.06746,0.22083,0.71813,0.36009,0.33793,0.36023,2.27142,0.85304,8.66338e-05,8.66338e-05,8.66338e-05
3,8.44855,0.5211,1.76721,0.99026,0.34997,0.71339,0.53762,0.5004,0.35981,2.62905,0.89096,0.000134777,0.000134777,0.000134777
4,10.4566,0.48447,1.41383,0.97658,0.45824,0.84785,0.61716,0.55759,0.45697,1.70112,0.89763,0.000181931,0.000181931,0.000181931
5,12.1612,0.45536,1.10444,0.93549,0.44163,0.76682,0.58963,0.52878,0.4251,1.72268,0.9189,0.000228095,0.000228095,0.000228095
6,13.7683,0.4505,0.95623,0.92649,0.53897,0.6226,0.55262,0.42984,0.56949,2.68115,0.95772,0.000273269,0.000273269,0.000273269
7,15.4187,0.41334,0.87543,0.9105,0.63828,0.86054,0.81072,0.67334,0.51359,1.38765,0.93345,0.000317452,0.000317452,0.000317452
8,17.0347,0.39532,0.68326,0.89013,0.75447,0.78536,0.82351,0.72943,0.45345,1.07429,0.89664,0.000360646,0.000360646,0.000360646
9,18.6589,0.448,0.7234,0.91341,0.87653,0.81948,0.91518,0.8448,0.43318,0.89522,0.87696,0.00040285,0.00040285,0.00040285
10,20.914,0.46432,0.75624,0.93634,0.88589,0.84089,0.91808,0.84468,0.44804,0.99008,0.9258,0.000444064,0.000444064,0.000444064
11,22.9649,0.44968,0.64596,0.93952,0.83672,0.93631,0.93411,0.85393,0.44923,0.98368,0.90865,0.000484288,0.000484288,0.000484288
12,24.6024,0.48169,0.69746,0.91871,0.81822,0.84299,0.90639,0.82483,0.48226,1.27335,0.91891,0.000523521,0.000523521,0.000523521
13,26.1252,0.43426,0.54437,0.90706,0.76501,0.8382,0.917,0.81015,0.49244,1.14255,0.91002,0.000561765,0.000561765,0.000561765
14,27.6157,0.46553,0.56988,0.94478,0.70524,0.89794,0.91571,0.82923,0.45254,0.99428,0.90936,0.000599019,0.000599019,0.000599019
15,29.2512,0.46184,0.55154,0.90953,0.79187,0.83146,0.86459,0.81362,0.4284,0.96361,0.92943,0.000635282,0.000635282,0.000635282
16,30.8216,0.43574,0.51677,0.89125,0.81954,0.84992,0.92341,0.86355,0.3853,0.79745,0.89071,0.000670556,0.000670556,0.000670556
17,32.5629,0.45411,0.51125,0.91066,0.70617,0.81511,0.81577,0.73195,0.42709,0.96593,0.87707,0.00070484,0.00070484,0.00070484
18,34.8453,0.44112,0.51706,0.89786,0.78782,0.87305,0.85432,0.80075,0.4014,0.84999,0.86308,0.000738134,0.000738134,0.000738134
19,36.3767,0.45061,0.49505,0.91939,0.78067,0.78548,0.83855,0.79697,0.38637,0.86492,0.87043,0.000770438,0.000770438,0.000770438
20,37.9236,0.44167,0.511,0.91069,0.6867,0.65651,0.80531,0.74367,0.44162,1.14143,0.88625,0.000801751,0.000801751,0.000801751
21,39.5189,0.40286,0.51317,0.8932,0.62452,0.72782,0.71026,0.66028,0.43748,1.15091,0.90322,0.000832075,0.000832075,0.000832075
22,41.076,0.42876,0.48307,0.91427,0.6223,0.81692,0.85175,0.78525,0.43279,0.9064,0.93445,0.000861409,0.000861409,0.000861409
23,42.6284,0.44861,0.48523,0.94987,0.59806,0.71311,0.78572,0.72231,0.41745,1.21669,0.93138,0.000889753,0.000889753,0.000889753
24,44.174,0.44314,0.46092,0.92302,0.54665,0.60796,0.70452,0.64516,0.42865,1.75903,0.94014,0.000917106,0.000917106,0.000917106
25,46.1867,0.41352,0.45629,0.88641,0.55641,0.60769,0.70181,0.63985,0.45271,1.59055,0.98034,0.00094347,0.00094347,0.00094347
26,48.1277,0.43108,0.45849,0.92303,0.54314,0.80997,0.88293,0.81133,0.43932,1.10757,0.93626,0.000940625,0.000940625,0.000940625
27,49.6442,0.41802,0.42874,0.89951,0.79643,0.7441,0.93523,0.86548,0.42207,0.90768,0.90996,0.00092825,0.00092825,0.00092825
28,51.2584,0.41839,0.45656,0.90816,0.77206,0.72485,0.86421,0.79336,0.44425,1.20684,0.90942,0.000915875,0.000915875,0.000915875
29,52.7772,0.43686,0.44515,0.9011,0.84288,0.64412,0.79946,0.73156,0.45224,1.50312,0.91882,0.0009035,0.0009035,0.0009035
30,54.3382,0.40534,0.44131,0.89735,0.83819,0.58802,0.73313,0.66829,0.45873,1.69321,0.93917,0.000891125,0.000891125,0.000891125
31,55.8717,0.43587,0.4653,0.90447,0.9099,0.62247,0.87652,0.80026,0.45593,1.35842,0.96806,0.00087875,0.00087875,0.00087875
32,57.3961,0.4215,0.42734,0.89891,0.81739,0.71819,0.92475,0.83431,0.50077,1.08452,1.06387,0.000866375,0.000866375,0.000866375
33,59.5201,0.4516,0.45271,0.9644,0.8191,0.8999,0.94366,0.87125,0.40856,0.74125,0.96103,0.000854,0.000854,0.000854
34,61.3578,0.41779,0.4379,0.89898,0.89485,0.86573,0.96485,0.88395,0.39677,0.57128,0.95302,0.000841625,0.000841625,0.000841625
35,62.9516,0.4291,0.41513,0.91523,0.83658,0.90153,0.96725,0.87179,0.38879,0.5485,0.95336,0.00082925,0.00082925,0.00082925
36,64.4768,0.36484,0.3511,0.87673,0.93819,0.79103,0.9621,0.86512,0.38575,0.5966,0.93923,0.000816875,0.000816875,0.000816875
37,66.0278,0.36968,0.36524,0.88155,0.92237,0.78271,0.96357,0.86863,0.38428,0.65679,0.94052,0.0008045,0.0008045,0.0008045
38,67.5399,0.3825,0.38663,0.89081,0.80145,0.81173,0.9454,0.85827,0.40672,0.689,0.93503,0.000792125,0.000792125,0.000792125
39,69.0547,0.38944,0.37753,0.89908,0.83184,0.76924,0.94251,0.8559,0.41992,0.69445,0.93649,0.00077975,0.00077975,0.00077975
40,70.5711,0.35372,0.38101,0.87296,0.91096,0.74176,0.93984,0.86379,0.41322,0.58522,0.94667,0.000767375,0.000767375,0.000767375
41,72.8614,0.3837,0.34759,0.89416,0.83067,0.9634,0.95431,0.8967,0.38184,0.51523,0.9324,0.000755,0.000755,0.000755
42,74.6628,0.39812,0.37075,0.89578,0.8733,0.94887,0.94119,0.87897,0.3667,0.51492,0.92341,0.000742625,0.000742625,0.000742625
43,76.1945,0.38089,0.36644,0.89513,0.91723,0.91041,0.94715,0.88772,0.36763,0.52303,0.92044,0.00073025,0.00073025,0.00073025
44,77.7473,0.37798,0.37418,0.89405,0.91447,0.93369,0.95175,0.88856,0.37159,0.47534,0.92534,0.000717875,0.000717875,0.000717875
45,79.2908,0.361,0.36243,0.89744,0.89758,0.93178,0.95649,0.87074,0.38862,0.47161,0.93418,0.0007055,0.0007055,0.0007055
46,80.8652,0.36829,0.3529,0.9037,0.8963,0.90347,0.94838,0.84944,0.4037,0.55487,0.97688,0.000693125,0.000693125,0.000693125
47,82.4114,0.38973,0.35537,0.90855,0.89091,0.89808,0.94646,0.84588,0.38971,0.5697,0.96851,0.00068075,0.00068075,0.00068075
48,84.2712,0.36286,0.35565,0.88904,0.87802,0.93137,0.96446,0.88159,0.38361,0.46582,0.95609,0.000668375,0.000668375,0.000668375
49,86.2952,0.3533,0.36282,0.88329,0.84364,0.94964,0.95882,0.8824,0.37826,0.46219,0.96363,0.000656,0.000656,0.000656
50,87.8572,0.38788,0.39995,0.90522,0.93277,0.88994,0.97083,0.89481,0.38001,0.42675,0.98266,0.000643625,0.000643625,0.000643625
51,89.4034,0.35301,0.37515,0.86915,0.827,0.92642,0.97676,0.88127,0.3958,0.48496,0.99322,0.00063125,0.00063125,0.00063125
52,90.9985,0.37324,0.34845,0.89607,0.84482,0.89728,0.97413,0.89175,0.38391,0.5147,0.98209,0.000618875,0.000618875,0.000618875
53,92.5158,0.35395,0.37031,0.8781,0.87081,0.87308,0.97329,0.8975,0.39104,0.52718,0.98035,0.0006065,0.0006065,0.0006065
54,94.0835,0.36417,0.35239,0.8819,0.8506,0.92982,0.97908,0.89644,0.38517,0.5006,0.95818,0.000594125,0.000594125,0.000594125
55,95.6119,0.31307,0.30625,0.84757,0.86078,0.97455,0.97333,0.897,0.35851,0.49069,0.9292,0.00058175,0.00058175,0.00058175
56,97.6369,0.32978,0.31587,0.8665,0.94619,0.92281,0.96854,0.89367,0.36208,0.50758,0.9229,0.000569375,0.000569375,0.000569375
57,99.4636,0.33232,0.33068,0.87039,0.8543,0.96377,0.96701,0.90935,0.36259,0.49742,0.92632,0.000557,0.000557,0.000557
58,101.087,0.34444,0.33626,0.87795,0.83112,0.97661,0.96782,0.90989,0.34935,0.51327,0.91942,0.000544625,0.000544625,0.000544625
59,102.699,0.32309,0.30774,0.87815,0.85752,0.93673,0.98114,0.92511,0.3357,0.48459,0.90428,0.00053225,0.00053225,0.00053225
60,104.274,0.3372,0.31943,0.88017,0.87583,0.92161,0.97847,0.91704,0.33443,0.4521,0.88968,0.000519875,0.000519875,0.000519875
61,105.798,0.34495,0.32952,0.87886,0.87796,0.93184,0.97922,0.92046,0.33537,0.44957,0.87999,0.0005075,0.0005075,0.0005075
62,107.335,0.34058,0.3188,0.87752,0.87479,0.95332,0.97165,0.90802,0.33736,0.45333,0.88557,0.000495125,0.000495125,0.000495125
63,108.949,0.31959,0.30347,0.87224,0.93865,0.94753,0.96353,0.90918,0.34898,0.436,0.89981,0.00048275,0.00048275,0.00048275
64,111.279,0.35134,0.36447,0.89819,0.94092,0.95903,0.96992,0.92419,0.34495,0.39901,0.90033,0.000470375,0.000470375,0.000470375
65,112.896,0.32657,0.32074,0.87225,0.97057,0.98077,0.97239,0.92264,0.33655,0.36027,0.8918,0.000458,0.000458,0.000458
66,114.499,0.34064,0.32234,0.89188,0.9675,0.98077,0.9805,0.93022,0.33791,0.3633,0.88795,0.000445625,0.000445625,0.000445625
67,116.129,0.32336,0.29935,0.85932,0.94403,0.97754,0.98248,0.93614,0.33247,0.36456,0.88775,0.00043325,0.00043325,0.00043325
68,118.44,0.33322,0.30411,0.87586,0.93162,0.96539,0.98203,0.9343,0.32706,0.39017,0.88875,0.000420875,0.000420875,0.000420875
69,119.931,0.31179,0.29739,0.87905,0.93257,0.95745,0.97774,0.93311,0.32019,0.42861,0.88705,0.0004085,0.0004085,0.0004085
70,121.514,0.33829,0.31422,0.88576,0.95135,0.96325,0.97946,0.92405,0.32361,0.40747,0.88062,0.000396125,0.000396125,0.000396125
71,123.699,0.28836,0.27676,0.84688,0.95254,0.96231,0.97372,0.92339,0.31947,0.39346,0.87657,0.00038375,0.00038375,0.00038375
72,125.432,0.29607,0.28057,0.85874,0.96127,0.96052,0.96915,0.92861,0.3182,0.37835,0.87649,0.000371375,0.000371375,0.000371375
73,126.973,0.32106,0.30178,0.87497,0.95886,0.95921,0.96798,0.92647,0.30829,0.37935,0.86921,0.000359,0.000359,0.000359
74,128.501,0.3357,0.2974,0.88941,0.94675,0.96213,0.96964,0.92731,0.29381,0.39225,0.85112,0.000346625,0.000346625,0.000346625
75,130.059,0.32597,0.2986,0.88208,0.94887,0.96045,0.96727,0.92229,0.29498,0.40811,0.84886,0.00033425,0.00033425,0.00033425
76,131.568,0.31833,0.27926,0.87018,0.95096,0.9595,0.96371,0.92222,0.30668,0.42086,0.86155,0.000321875,0.000321875,0.000321875
77,133.108,0.29265,0.26272,0.84768,0.95135,0.95917,0.95954,0.91865,0.30974,0.4346,0.87034,0.0003095,0.0003095,0.0003095
78,134.787,0.27915,0.27873,0.8561,0.9501,0.95821,0.95806,0.91702,0.30669,0.45754,0.86604,0.000297125,0.000297125,0.000297125
79,137.012,0.31346,0.27718,0.8781,0.94908,0.95761,0.9527,0.91253,0.31562,0.47262,0.86665,0.00028475,0.00028475,0.00028475
80,138.564,0.28851,0.26414,0.84771,0.94962,0.95773,0.95568,0.91169,0.3193,0.47117,0.86971,0.000272375,0.000272375,0.000272375
81,140.107,0.27859,0.25761,0.86378,0.94966,0.95797,0.95812,0.91612,0.31365,0.45964,0.86938,0.00026,0.00026,0.00026
82,141.625,0.28438,0.25979,0.8613,0.9486,0.95927,0.95902,0.91489,0.30457,0.44034,0.86702,0.000247625,0.000247625,0.000247625
83,143.191,0.29481,0.27507,0.85337,0.95027,0.96151,0.96095,0.91791,0.30356,0.42695,0.86608,0.00023525,0.00023525,0.00023525
84,144.739,0.29405,0.271,0.87228,0.95176,0.96183,0.95966,0.91681,0.30797,0.42544,0.87312,0.000222875,0.000222875,0.000222875
